YEAR,MO,DY,HR,irr
2017,1,30,1,0
2017,1,30,2,0
2017,1,30,3,0
2017,1,30,4,0
2017,1,30,5,0
2017,1,30,6,0.66
2017,1,30,7,7.95
2017,1,30,8,19.78
2017,1,30,9,31.04
2017,1,30,10,30.59
2017,1,30,11,42.59
2017,1,30,12,41.66
2017,1,30,13,36.09
2017,1,30,14,26.6
2017,1,30,15,14.64
2017,1,30,16,3.98
2017,1,30,17,0
2017,1,30,18,0
2017,1,30,19,0
2017,1,30,20,0
2017,1,30,21,0
2017,1,30,22,0
2017,1,30,23,0
2017,1,31,0,0
2017,1,31,1,0
2017,1,31,2,0
2017,1,31,3,0
2017,1,31,4,0
2017,1,31,5,0
2017,1,31,6,0.67
2017,1,31,7,7.93
2017,1,31,8,19.62
2017,1,31,9,30.76
2017,1,31,10,38.73
2017,1,31,11,42.47
2017,1,31,12,41.44
2017,1,31,13,35.95
2017,1,31,14,22.54
2017,1,31,15,13.84
2017,1,31,16,3.41
2017,1,31,17,0.03
2017,1,31,18,0
2017,1,31,19,0
2017,1,31,20,0
2017,1,31,21,0
2017,1,31,22,0
2017,1,31,23,0
2017,2,1,0,0
2017,2,1,1,0
2017,2,1,2,0
2017,2,1,3,0
2017,2,1,4,0
2017,2,1,5,0
2017,2,1,6,0.56
2017,2,1,7,7.59
2017,2,1,8,17.72
2017,2,1,9,28.79
2017,2,1,10,38.41
2017,2,1,11,42.41
2017,2,1,12,41.55
2017,2,1,13,36.03
2017,2,1,14,26.63
2017,2,1,15,14.77
2017,2,1,16,4.25
2017,2,1,17,0
2017,2,1,18,0
2017,2,1,19,0
2017,2,1,20,0
2017,2,1,21,0
2017,2,1,22,0
2017,2,1,23,0
2017,2,2,0,0
2017,2,2,1,0
2017,2,2,2,0
2017,2,2,3,0
2017,2,2,4,0
2017,2,2,5,0
2017,2,2,6,0.45
2017,2,2,7,4.07
2017,2,2,8,9.7
2017,2,2,9,14.97
2017,2,2,10,21.1
2017,2,2,11,22.23
2017,2,2,12,22.56
2017,2,2,13,18.46
2017,2,2,14,13.42
2017,2,2,15,7.03
2017,2,2,16,2.45
2017,2,2,17,0
2017,2,2,18,0
2017,2,2,19,0
2017,2,2,20,0
2017,2,2,21,0
2017,2,2,22,0
2017,2,2,23,0
2017,2,3,0,0
2017,2,3,1,0
2017,2,3,2,0
2017,2,3,3,0
2017,2,3,4,0
2017,2,3,5,0
2017,2,3,6,0.44
2017,2,3,7,2.11
2017,2,3,8,5.59
2017,2,3,9,9.65
2017,2,3,10,13.84
2017,2,3,11,15.75
2017,2,3,12,16.3
2017,2,3,13,11.09
2017,2,3,14,7.34
2017,2,3,15,4.04
2017,2,3,16,2.15
2017,2,3,17,0
2017,2,3,18,0
2017,2,3,19,0
2017,2,3,20,0
2017,2,3,21,0
2017,2,3,22,0
2017,2,3,23,0
2017,2,4,0,0
2017,2,4,1,0
2017,2,4,2,0
2017,2,4,3,0
2017,2,4,4,0
2017,2,4,5,0
2017,2,4,6,0.62
2017,2,4,7,1.94
2017,2,4,8,5.87
2017,2,4,9,10.17
2017,2,4,10,11.61
2017,2,4,11,11.94
2017,2,4,12,11.59
2017,2,4,13,9.73
2017,2,4,14,6.47
2017,2,4,15,3.16
2017,2,4,16,2.69
2017,2,4,17,0
2017,2,4,18,0
2017,2,4,19,0
2017,2,4,20,0
2017,2,4,21,0
2017,2,4,22,0
2017,2,4,23,0
2017,2,5,0,0
2017,2,5,1,0
2017,2,5,2,0
2017,2,5,3,0
2017,2,5,4,0
2017,2,5,5,0
2017,2,5,6,0.45
2017,2,5,7,2.94
2017,2,5,8,6.91
2017,2,5,9,10.82
2017,2,5,10,15.82
2017,2,5,11,19.39
2017,2,5,12,18.66
2017,2,5,13,16.57
2017,2,5,14,12.34
2017,2,5,15,7.3
2017,2,5,16,2.98
2017,2,5,17,0
2017,2,5,18,0
2017,2,5,19,0
2017,2,5,20,0
2017,2,5,21,0
2017,2,5,22,0
2017,2,5,23,0
2017,2,6,0,0
2017,2,6,1,0
2017,2,6,2,0
2017,2,6,3,0
2017,2,6,4,0
2017,2,6,5,0
2017,2,6,6,0.53
2017,2,6,7,3.8
2017,2,6,8,10.16
2017,2,6,9,18.5
2017,2,6,10,21.04
2017,2,6,11,23.85
2017,2,6,12,24.55
2017,2,6,13,21.7
2017,2,6,14,16.19
2017,2,6,15,10.12
2017,2,6,16,3.84
2017,2,6,17,0
2017,2,6,18,0
2017,2,6,19,0
2017,2,6,20,0
2017,2,6,21,0
2017,2,6,22,0
2017,2,6,23,0
2017,2,7,0,0
2017,2,7,1,0
2017,2,7,2,0
2017,2,7,3,0
2017,2,7,4,0
2017,2,7,5,0
2017,2,7,6,0.77
2017,2,7,7,7.27
2017,2,7,8,17.91
2017,2,7,9,30.21
2017,2,7,10,39.11
2017,2,7,11,38.98
2017,2,7,12,39.73
2017,2,7,13,35.94
2017,2,7,14,26.34
2017,2,7,15,15.15
2017,2,7,16,5
2017,2,7,17,0
2017,2,7,18,0
2017,2,7,19,0
2017,2,7,20,0
2017,2,7,21,0
2017,2,7,22,0
2017,2,7,23,0
2017,2,8,0,0
2017,2,8,1,0
2017,2,8,2,0
2017,2,8,3,0
2017,2,8,4,0
2017,2,8,5,0
2017,2,8,6,0.98
2017,2,8,7,9.22
2017,2,8,8,22.02
2017,2,8,9,33.55
2017,2,8,10,39.96
2017,2,8,11,44.44
2017,2,8,12,42.53
2017,2,8,13,36.49
2017,2,8,14,28.87
2017,2,8,15,16.65
2017,2,8,16,5.44
2017,2,8,17,0
2017,2,8,18,0
2017,2,8,19,0
2017,2,8,20,0
2017,2,8,21,0
2017,2,8,22,0
2017,2,8,23,0
2017,2,9,0,0
2017,2,9,1,0
2017,2,9,2,0
2017,2,9,3,0
2017,2,9,4,0
2017,2,9,5,0
2017,2,9,6,1.01
2017,2,9,7,9.43
2017,2,9,8,21.88
2017,2,9,9,33.45
2017,2,9,10,41.7
2017,2,9,11,45.17
2017,2,9,12,44.3
2017,2,9,13,38.84
2017,2,9,14,29.22
2017,2,9,15,16.86
2017,2,9,16,5.62
2017,2,9,17,0
2017,2,9,18,0
2017,2,9,19,0
2017,2,9,20,0
2017,2,9,21,0
2017,2,9,22,0
2017,2,9,23,0
2017,2,10,0,0
2017,2,10,1,0
2017,2,10,2,0
2017,2,10,3,0
2017,2,10,4,0
2017,2,10,5,0
2017,2,10,6,0.7
2017,2,10,7,5.02
2017,2,10,8,11.37
2017,2,10,9,17.7
2017,2,10,10,26.99
2017,2,10,11,32.81
2017,2,10,12,36.91
2017,2,10,13,34.34
2017,2,10,14,26.21
2017,2,10,15,15.67
2017,2,10,16,5.51
2017,2,10,17,0
2017,2,10,18,0
2017,2,10,19,0
2017,2,10,20,0
2017,2,10,21,0
2017,2,10,22,0
2017,2,10,23,0
2017,2,11,0,0
2017,2,11,1,0
2017,2,11,2,0
2017,2,11,3,0
2017,2,11,4,0
2017,2,11,5,0
2017,2,11,6,0.7
2017,2,11,7,5.46
2017,2,11,8,11.93
2017,2,11,9,20.51
2017,2,11,10,33.4
2017,2,11,11,42.62
2017,2,11,12,42.79
2017,2,11,13,37.28
2017,2,11,14,27.98
2017,2,11,15,16.15
2017,2,11,16,5.67
2017,2,11,17,0
2017,2,11,18,0
2017,2,11,19,0
